video,title,isdone,n_chunks,transcription
العملة اللي غادي تغير البشرية ـ البيتكوين ـ ج1,,,,"المعاملات الرسمية في البلاد.
"
العملة اللي غادي تغير البشرية ـ البيتكوين ـ ج1,,,,بيتكوين اللي بدا في الأول كنتيجة ديال العمل ديال مجموعة من الرياضياتيين والعلماء المعلوماتيات خدامين في مجموعات عمل بيناتهم أوبسكور، بيتكوين ولا دابا أنيو أسيت كلاس صنف جديد ديال الممتلكات المعتمدة رسميا ومابقاش فقط مشروع ناشئ ديال مجموعة من المهوسين بالمط والخوارزميات بحال اللي كان في 2010 بيتكوين كيقترح نموذج ديال العملة بديلة اللي يقدر يشتغل بها كوكب الأرض كامل عملة كتقلل من كثرة الوسطاء كتنقص لا فريكسيون في المبادلات المالية وكتمكن من تبادل القيمة بشكل لحظي ولكن كيبقى النجاح ديال هذا النموذج راهين بازدياد ديال الثقة ديال الأفراد والمؤسسات به وبالاحتكاكات المستقبلية اللي تقدر تطرا بينه وبين الأنظمة المركزية ديال الدول في الجزء الجاي غادي نشوفو كيفاش أن بيتكوين هو فقط الجيل الأول ولا البداية ديال القصة ديال تكنولوجيا البلوكشين غادي نشوفو كيفاش أن الأجيال الموالية ديال تكنولوجيا البلوكشين بحال الايثيريوم غادي تفتح الباب لإبداعات غير مسبوقة في العالم الرقمي وغادي تمهد للجيل الجديد ديال الإنترنت أحد أروع الاكتشافات في التاريخ ديال البشرية
العملة اللي غادي تغير البشرية ـ البيتكوين ـ ج1,,,,هذا هو الحلقة ثلاثة، هذه الحلقة فحال جميع الحلقات اللي دازوا في هذ لاشين هما ماشي سبونسوريزي وجزء من التكاليف ديال الإنتاج تمت التغطية دياله من عن طريق الدعم اللي هو دعم دي سونتراليزي ديال المشاهدين فحالك أنت ولا أنت عن طريق موقع باتريون. هذا الشيء كيمكن كروس مودو من التغطية ديال الماتريال اللي كيتصوروا به هذ الحلقات. ولكن ما كرهتش في المستقبل أنه نقدروا نيو شويه ديال الإنتاج مثلا شخص يدير المونطاج وشخص يدير الصوت باش نقدر نركز أنا على المحتوى ونقدر نحط فيديوهات أكثر في لاشين. اذا بغيتوا تنضموا لعائلة مساندي القناه باش نحاولوا جميع نوصلوا لهذه المرحله الجديده في القناه، كاين جوج ديال الطرق، كاين اما موقع باتريون الرابط ها هو هنا لتحت ولا التقيد هنا في يوتيوب عن طريق البوطون ديال الاشتراك الشهري باي مقدار بغى الواحد، المشتركين على حسب المقدار كنتفاعل معهم بواحد مجموعه ديال الامتيازات بحال مثلا الاسبقيه في الاسئله اللي كنطرح على الضيوف في الاستجوابات العلميه ولا السميه مثلا في النهايه ديال الحلقه وامور اخرى، التفاصيل كامله في موقع باتريون وهنا في الزر ديال الاشتراك. شكرا شكرا شكرا مره اخرى لجميع المساندين من فضلكم هذه القناه خدامه، بالسلامه.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وأخيرا المغرب سنة 2025 ها ينظم كاس إفريقيا وأخيرا جات ذيك اللحظة اللي غا نشوفوا فيها الكروبات اللي طاح فيهم جميع المنتخبات العربية وبطبيعة الحال المنتخب المغربي. وأخيرا التيرانات اللي كنا كانشوفوهم غير 3دي أولاو كايسيوا قربو يوجدو، فهمتي. وأخيرا غا نشوفوا كيفاش المغرب غا ينظم كاس إفريقيا في سنة 2025 سيرتو احنا مقبلين على كاس العالم 2030. زعما يمكن من الدول القليلة اللي غا تنظم مثلا مسابقة قارية قبل المسابقة اللي هي ديال كاس العالم. جميع الأنظار ااه مدور على المغرب، كل شيء كايهضر على المغرب، كل شيء كايتسنى المغرب شنو غا يدير. صراحة آيم فيري اكسايتد، زعما أنا متحمس بزاف علاش، حيث جميع ال
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,جميع الظروف ملائمة، زعما باش تديكارافريقيا باش كاس افريقيا يوقع في المغرب، جميع الظروف ملائمة كيما قلت ليكم، واليوم غاناقشو القرعة اللي طاح فيها المغرب مع مالي وزامبيا وجزر القمر. الخصم ديال إ ف 22 جزر القمر، والخصم ديال 2024، عقلتو كنا كنتشكاو غا الصهد، ا لوميديتي، ا ما عقلتش اه ما قدرناش اه.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,واه دابا شنو؟ انتينا لعباد، الجمهور حداك، الجمهور رقم 12، عندك لي زاتاكون هربانين، ما عندك ما كاين حتى شي اكزكيوز، فهمتي؟ كل الطرق تؤدي الى شنو؟ الكاب دافريك خصها تبقى في المغرب. دابا من دابا ماتنساوش ديرو واحد اللايك وواحد السبسكرايب.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,و خلينا نبدأ الفيديو إن شاء الله، لتس غو. اليوم كاين القرعة في الرباط اللي حضر ليها بزاف ديال الناس اللي مهمين بزاف منهم أساطير ديال الكرة المصرية، السينيغال، جيرفينيو براسه حضر، الأسطورة ديال الأرسنال. كان فوزي القجع دار واحد الكلمة اللي واعرة بزاف، شفنا الأغنية ديال رضوان اللي خرجات ديال المنتخب، ما زال غنمشي نسمع ليها حيت فريمون كتسمعها مرة واحدة كتقول أم، ولكن ملي كتسمعها المرة الأولى والثانية كتبقى لك في دماغك فهمتي، بحال الشكل ديال هالة هالة راه في الأول قلنا أم ماشي شي أغنية مي مع الوقت ولات هي الأغنية ديالنا. شنو قال لها؟ خليك مغربي مرفوع الراس المهم ما عقلتش على الكلمات اللي عجباتني الأغنية. موراها دار الدرو اللي خلانا نطيحوا فواحد الجروب كيما قلت لكم الجروب اللي فيه المغرب ومالي، وزامبيا وجزر القمر، ولكن دابا هذا الجروب باش مجموعة الموت لله الحمد لله الحمد لله، الحمد لله تنقول احنا ما طحناش مع شكون؟ جنوب إفريقيا راه على شوية، المهم جنوب إفريقيا لصقوا مع مصر في الجروب الثاني، عندك مصر وجنوب إفريقيا، أنغولا وزيمبابوي. المهم، جروب حتى هو ما نقولوش عليه مجموعة الموت، ومصر عندها إكسبيريونس، إيش بعدا نبقاو غير في المغرب بعدا نناقشوا تنلعبوا الماتش الأول ديال الافتتاح مع جزر القمر وغنلعبوا في الرباط، والرباط باين فيها أربعة ديال التيرانات. وغانلعبوا في تيران كبير، فهمتي؟ وإلى بقى المغرب متصدر للمجموعة غنكملوا الطراجي كامل حتى للفينال في الرباط، ونتمنى نبقاو في الرباط ما نسافروش فهمتي، نولفوا على التيران، نولفوا على الجماهير، نولفوا على لونبيونس، هذا واحد لافونطاج عندنا حنا ربحانين بزاف أنك بقيتي تتلعب في نفس التيران، راه مع الوقت كتأدابتا على ذاك كتولي بحال لاعب في دارك، أنت أصلا لاعب في دارك، بحال مثلا في كوب دا كوب دي موند ديال 2022، راه كنا لعبنا في الثمامة الماتش الأول والماتش الثاني،
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,الماتش الثالث بحال إلى فدارك فهمتي؟ بحال داخل لداركم، ما كتتقلقش على البلاصة كتلقى واحد حداك تايقول لك ودوز تفضل هذه بلاصتك يلاه زيد، بحال اللي ما طرا والو فهمتي؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وباش لعبنا في ملعب البيت راه شفتي شنو طرا باش خسرنا مع فرنسا. ياك الماتش.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,كنت شعلها شوية باش
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وشو اللي في هذو الألوان الأرجنتينية؟ قال لك العقل كان قال لي واحد الأرجنتيني قال لي كون دز الفينال كون كان التيران مقسم على جوج دونسين، نص خضر ونص أزرق.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,كان يكون واحد المهم، آخ! الذكريات. الكروب الثالث نقدروا نقولو عليه شوية مجموعات، هاد شوية لصقات فيا معرفتش علاش، شوية مجموعات الموت علاش؟ حيت فيها نيجيريا، وفيها تونس، وفيها أوغندا وتنزانيا. نيجيريا وتونس راه دابا باش تعرفو راه من دابا حتى الكوب دافريك راه باقي بزاف ديال الوقت، اللعابة يقدروا يتهرسوا، اللعابة يقدروا يرجعوا زعما من إصابة، يقدروا يتبدلوا مدربين، يقدروا يتبدلوا بزاف ديال العوامل اللي ما تقدرش ترشح شكون اللي يقدر يديها. أبار المغرب خصو يديها هاد ما فهمتش، كومون؟ عندك اللعابة عالميين، عندك دي زاتاكو خياليين هاد، عندك السينصيري هنا في تركيا راه خالق السعادة. في الأول العام كانوا كاع التوارك تيقول ليا آش هاد لاطاكو عيان ما كنتش دابا كيجيو عندي
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وا النصيري، النصيري فرحانين ليه!
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,السيد ماركا 10 د المية في 15 الماتش كان غيمشي للنصر مابقاش غيلعب ليك.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,زادوا له تدعيمات هنا جابوا له تانيكا، دونك السيد فهمتي شد الريتم، وأنتما مابقاش هذا الريتم وتتمنى يبقى يمكي بيوته، هذا السيمانة راه ماركا جوج، هذا الويكاند جو بونس ضد كوشتي بي ماركا باش ربحوا بثلاثة لجوج، دونك عندنا النصيري عندنا السي حمزة إيكامان مفاجأة الموسم هذا اللاعب هذا اللي انتقل من الجيش الملكي الرينجرز نيشان، السيد تأداب بالزربة وباش تعرفوا باش تلعب في سكوتلندا ولا في الانجليز راه صعيب تأداب في الأول، عوامل اللغه، الجو، النيفو د الكورة، الريتم الكورة وكل شيء مع أن السيد مشا لتما ولا هو اللي كيلوي على كل شيء والحمد لله انه بدل المنتخب المغربي، عندنا طبعًا بطبيعة الحال السي رحيمي في العين الإماراتية هذاك لا يغنى عليه ما ندويوش عليه، وراه كي شفتوا اخر مسابقه كنا لعبنا ديال الاولمبياد شتنا فيها بزاف د السميات الياس أخ ماش ها فهمتي؟ هذه المواهب كاملين الزلزولي حتى هو راه تبارك الله مع بيتي الشاد، جو بونس ريكير أول مرة كتكون عنده لي زبسيون ديال الشباب اللي باقيين صغار فيلاج يقدروا اللي وصلوا لواحد المستوى ديال النضج فهمتي؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,ما بقاوش معولين على زياش حتى يكون في نهاره ولا السميات القدام اللي كانوا في المنتخب. نمشيو دابا الكروب الرابع. عندنا في الكروب دي، السنغال، الكونغو، بينين وبوتسوانا. راكم عارفين كيكون حامل ماشي حامل اللقب، زعما حتى السنغال ديجا داوها ف باش كان باش كون لعبوا في السنغال عقلتي كانوا داوها ضد مصر جيبونس. إلا بقيت عاقل. يا ربي مانكونش غلط. كانوا حتى هما عندهم تيرانات جداد وكلشي. ما بغيناش شي فلاش باك بحال هكا، تخيل شي فينال ما بين المغرب ومصر.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,حيت بون سبونطر هنا ما يصرى فينا، يقدروا يطيحوا من القدر، المهم كيما قلت ليكم إلى لزنا حنا فالكروب فاللول راه م، نكملوا فالرباط، فهمتي ما نبقاش نمشيوا يلعبوا فمدينة آخرا، والباركو كامل يكون فالرباط.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"موق فنال اونديول المشاهدة.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وغينيا الاستوائية والسودان، ما عرفتش شنو نقول زعما كلوب.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,الجزائر تا هما عندهم زعما منتخب مزيان فيه لي جوغ فيه بزاف ديال المواهب منهم الشعيبي.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,عندهم بن سبعيني كانوا هما اللي لعابة واعرين وعندنا في جروب الليلية.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"كوديفوار، الكاميرون، الغابون، والموزمبيق. نقدر نقول لكم هذه مجموعة الموت، يا سي الناس.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,حيث فيها حامل لقب كوت ديفوار ومعاه كاميرون حتى هما اللي منتخب كبير، وكابون حتى هما اللي تبارك الله واخا اوبامين طاح ليه النيفو إلى اخره ولا كيلعب في السعوديه مع القادسية.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,ندوزو دابا نقولو واحد التوصل على هادشي؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"هو توقع دابا بكري انك تجي تقولوا حيث كما قلت لكم من دابا حتى لدجنبر كاين بزاف العوامل اللي يقدروا يتبدلوا.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,يقدروا بزاف ديال العوامل يرجعوا، يقدروا بزاف ديال العوامل يتبلاسوا، يقدروا يتبدلوا مدربين وبزاف ديال العوامل. مي
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,أنا ف الجروبات، أنا الجروب ا، ادوز منه المغليات.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,نقولو ادوز مصر وجروب افريكا
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,غروب سي غول دوز مثلا نيجيريا، فونسبا، تونس يقدروا يدوزوا فيها.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,حيت تونس عندهم بزاف دالمشاكل وكيبدلوا مدربين بزاف وهاليلي.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,الجروب دي نقدر نقولوا السينغال السينغال والكونغو غايدوزو.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,فالكروب او بطبيعة الحال اي واحد
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,جزائر و غينيا يتأهلون.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وف كروب اف لي هو كروب لي صعيب بزاف قول كوت ديفوار الكاميرون.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,ديما الى دازو راه غيكون واحد الويتيم فينال وكارت فينال اللي مشي نشدد الليلة.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,حنا كما قلت ليكم في الليل
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,لعندنا بزاف د العوامل اللي معونينا، منهم أن عندنا الجمهور رقم 12، احنا في قطر.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"ليب برايد بريد وايد بلانتي بلاسا وكان الهالي مالك الحال اللي درنا تما نقدر نعطيكم بزاف ديال الامثله بلجيكا كان فريق كبير ضغط البنوت فوق الكوره حيث الجمهور كان كيضغط عليهم فهمت الجمهور كان هو اللعيب رقم 12.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,فريقيا فهمتي عندك ضد كندا لاميم شوز، لعبو ضد طاليون، إسبانيا اللي كانت ضربت كوستاريكا في كروب ستيج بسبعة، تهلاو فيهم جاوا ضدنا مامرركاوتش فهمتي؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,واش في واش في اليابان كيماكينش شي ماتش موتيماركيوش فيها، كيديروا عليهم كاجينوار؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,الكارت فينال، قد اللعيبة اللي يلعبوا الليلة؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,من الحاضرين في الماتش ديال البرتغال وسويسرا.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,ملعب لوسيل في في الويتيام فينال ربحوا في 6 لواحد وأنا فريمون باش نمشي لذاك الماتش تخلعت، كانيشا منمر في الصبليون هو.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,اش كانقول كيفاش غنربح هذه البرتغال اللي فريمون بلا رونالدو وماركاوا سته، ولكن باش لعبنا في الثمامه.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,راه ش شنو طرا راه خنقناهم وفهم تلناهم ما عرفوش كيفاش ي
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,كيفاش كيفاش يتعاملو معنا؟ ومن الاسباب اللي خلاونا اننا بحنا البرتغال وكندا.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"وبلجيكا هو أننا لعبنا في التيران لعبنا فيه ثلاثة المرات متتالين.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,فهمتك لعبنا لعبنا في ملعب البيت مورا الثمامة الثمامة المدينة التعليمية الثمامة دونك الثمامة لعبنا فيه بزاف.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وملي لعبنا فالفيس سباح حتى أنا دخلت ليه ثلاثة دالمرات كنت كنحس أن الجمهور بحال لي جالسين في دارنا زعما مكاتحسش أن كاين شي تغيير ولا شي حاجة وليفتي ديك البليصة.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,واش بن كتلعب فشي تييران لجميع الماتشين اللي فاليوم ؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,عنبلدو واحد المومنتوم ما كيعجبناش حنا
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"أي فريق غادي يلعب تما الليلة؟
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وخصنا نمشيو ب بعامل الدوميناسيون، أنت لاعب في بلادك ولاعب قدام جمهورك.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,والعالم كله كيتفرج، والعالم كله أنظار على المغرب حتى ينظم كأس العالم في 2030.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,أشياء اللي خلق الله جداد اللي الليل.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,بالنسبة أنا كنت لاعب كورة القدم المنتخب المغربي ماكين حتى شي فرصة كبر من هذ انك تجي تبين علاش حنا
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,خصنا نكونو احسن فريق إفريقي ولا لا من الناحية ديال التنظيم ولا من الناحية ديال الاستضافة ولا من ناحية الضيافة ولا من ناحية الكونتنت ولا من ناحية الكرة ولا من ناحية البطولة.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"حيت هذه غتكون بروفا من كاس العالم غتكون في 2030.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"أنا بالنسبة ليا كسلسلة أفلامﻚ.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,تكون فواحد المومون اللي زوين اننا غادي تيستاو كرويا لوجيستيكيا سياحيا بزاف ديال الحوايج غيتبدلوا وهذه فرصه لاي واحد عنده التالنت ولا عنده شي حاجه اللي
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وأهم حاجة هي كرويا نبينوا علاش احنا أحسن منتخب.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,تبارك الله راه فهمتي الطالون كاينين هز العين فهمتي راه ما يسالوش.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,كمياء تبارك الله اللهم ابقاو نمدح متنبغيش نقوص مي لا
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,تبارك الله راه في الاولمبياد تبارك الله على الخيالات
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,شفنا شي سميات لي جداد ما عمرنا سمعنا بهم، فهمتي كنا كنسمعوا ميم مرة مرة في الصوب داكشي من بعد، شفنا الياس أخوماش، شفنا الزلزولي طلع النيغو، شفنا النصيري رجع النيفو كيما قلت لكم، شفنا حمزة ايغامان حتى هو.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,مزراوي تبارك الله واخا يونايتد ماتيديروش دي ريزيبل دونك، واي نوت.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,على شنو هو السمري اللي خليك تحكي؟
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,كنا ديما في كأس أفريقيا تنشكاو من بزاف د الحاجات
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,آه، أجواء أفريقية، الخبط الكروي.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"عندك جميع الظروف موائمة كي لا تنوض.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وان شاء الله علاش لا تبقى الكلمه الاولى
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"والنسوك كأس افريقيا اللي غابو على المغرب منذ 1976.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,أوكي 98 نتمنى منكونش غلطتي يا ربي مشيجيوش في كومونطير يقولو فيها راح كانندوي دابا بلا سكريبت فهمتي من الليل.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"هاد الشي اللي كاين. كان معاكم كوثر الصميمي.
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,"فقط فيديو على الكرعة؟
"
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,وا هذا الشيء اللي كاين، ديروا واحد اللايك وسبسكرايب كما قلت لكم أي واحد يتفرج فيه أول مرة.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,شوف اس اش زعما راني كوتش
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,أو نهدك الأونيليوم، ريدوان شني هي؟ مغربي خلي راسك راسك الفوق.
الطريق إلى لقب كأس افريقيا 2025 .. واش قرعة مجموعة المغرب فصالحنا؟ 🏆🇲🇦,,,,خصني نمشي نسمع لها شي ثلاثة دالمرات ما بغيتش نديرها في هذا الفيديو على ود الكوبي رايت فهمتي ميدي سكوير عجبني
التاريخ لي ماقرّاوناش - حلقة 2 ： برغواطة,,,,"Okay, I'm ready! Please send me the Moroccan Darija audio and I will do my best to transcribe it for you. 
"
التاريخ لي ماقرّاوناش - حلقة 2 ： برغواطة,,,,"في دروس التاريخ المغربي اللي قرينا في المدرسة؟
"
التاريخ لي ماقرّاوناش - حلقة 2 ： برغواطة,,,,فوقما كيهضروا على الدول اللي حكمات المغرب من بعد الفتح الإسلامي، كيبداو بالادارسة والمرابطين وهما طالعين. لكن قليل فين كيجبدوا الدويلات المغربية الأولى.
التاريخ لي ماقرّاوناش - حلقة 2 ： برغواطة,,,,استقلات على الخلافة الأموية في الشرق بحال دولة برغواطة اللي سبقات الأدارسة بنصف قرن اللي حكمت منطقة تامسنا لأزيد من 300 عام. قصة تأسيس مملكة برغواطة كتبدا خلال الحكم الأموي وبالضبط في عهد الخليفة هشام بن عبد الملك اللي الولاد ديالو في المغرب بداو كيديروا الميز العنصري وكيظلموا الشعب وكيتاعدوا عليهم. داك الشي خلا شيوخ القبائل الأمازيغية يتجمعوا ويقرروا يصيفطوا وفد للخليفة الأموي يشكاو فيه من الولاد ديالهم. فيه شي 20 واحد كيرأسهم ميسره المدغري زعيم قبيلة مدغره. ومعاه في هذا الوفد كان واحد اليهودي دخل في الإسلام سميتو طريف بن شمعون غدي يولي عشير بزاف. هذا الطريف أصله من واحد القرية قريبة من قادس في الأندلس وحرق للمغرب وعاش في منطقة تامسنا. المهم مشى الوفد حتى وصل لديمشق عاصمة الخلافة وبقوا تماك شحال باش يتلاقاو الخليفة هشام لكن ماتصوركش ليا وماستقبلهمش في مره. فاش عياو هما يتسناو قرروا يرجعوا فحالهم.
